Probe	Chr	Start	End
Chr1:12233-12445 UNK (213 bp)	1	12233	12445
Chr1:13516-13841 UNK (326 bp)	1	13516	13841
Chr1:14348-14688 UNK (341 bp)	1	14348	14688
Chr1:16197-16440 UNK (244 bp)	1	16197	16440
Chr1:19003-19167 UNK (165 bp)	1	19003	19167
Chr1:76123-76399 UNK (277 bp)	1	76123	76399
Chr1:186490-186708 UNK (219 bp)	1	186490	186708
Chr1:190000-190196 UNK (197 bp)	1	190000	190196
Chr1:1932221-1932400 UNK (180 bp)	1	1932221	1932400
Chr1:4860959-4861168 UNK (210 bp)	1	4860959	4861168
Chr1:5464880-5465070 UNK (191 bp)	1	5464880	5465070
Chr1:5732628-5732832 UNK (205 bp)	1	5732628	5732832
Chr1:5824341-5824492 UNK (152 bp)	1	5824341	5824492
Chr1:6186363-6186595 UNK (233 bp)	1	6186363	6186595
Chr1:7243531-7243762 UNK (232 bp)	1	7243531	7243762
Chr1:7413065-7413312 UNK (248 bp)	1	7413065	7413312
Chr1:7414308-7414550 UNK (243 bp)	1	7414308	7414550
Chr1:7415699-7415972 UNK (274 bp)	1	7415699	7415972
Chr1:7952388-7952589 UNK (202 bp)	1	7952388	7952589
Chr1:8912537-8912791 UNK (255 bp)	1	8912537	8912791
Chr1:11166218-11166420 UNK (203 bp)	1	11166218	11166420
Chr1:11249743-11249933 UNK (191 bp)	1	11249743	11249933
Chr1:13327879-13328131 UNK (253 bp)	1	13327879	13328131
Chr1:14383152-14383362 UNK (211 bp)	1	14383152	14383362
Chr1:14384690-14384872 UNK (183 bp)	1	14384690	14384872
Chr1:15268029-15268228 UNK (200 bp)	1	15268029	15268228
Chr1:15397032-15397187 UNK (156 bp)	1	15397032	15397187
Chr1:16683198-16683421 UNK (224 bp)	1	16683198	16683421
Chr1:16685388-16685586 UNK (199 bp)	1	16685388	16685586
Chr1:18136141-18136374 UNK (234 bp)	1	18136141	18136374
Chr1:19235533-19235622 UNK (90 bp)	1	19235533	19235622
Chr1:19993504-19993676 UNK (173 bp)	1	19993504	19993676
Chr1:20171777-20171960 UNK (184 bp)	1	20171777	20171960
Chr1:20815796-20816174 UNK (379 bp)	1	20815796	20816174
Chr1:21908071-21908245 UNK (175 bp)	1	21908071	21908245
Chr1:22938916-22939184 UNK (269 bp)	1	22938916	22939184
Chr1:25058774-25058955 UNK (182 bp)	1	25058774	25058955
Chr1:25510678-25510833 UNK (156 bp)	1	25510678	25510833
Chr1:25868709-25868735 UNK (27 bp)	1	25868709	25868735
Chr1:26595811-26595988 UNK (178 bp)	1	26595811	26595988
Chr1:26642084-26642266 UNK (183 bp)	1	26642084	26642266
Chr1:27289506-27289802 UNK (297 bp)	1	27289506	27289802
Chr1:27405734-27406004 UNK (271 bp)	1	27405734	27406004
Chr1:27407134-27407338 UNK (205 bp)	1	27407134	27407338
Chr1:27428752-27428928 UNK (177 bp)	1	27428752	27428928
Chr1:28880871-28880952 UNK (82 bp)	1	28880871	28880952
Chr1:29024073-29024270 UNK (198 bp)	1	29024073	29024270
Chr1:29400921-29401133 UNK (213 bp)	1	29400921	29401133
Chr1:30439804-30440104 UNK (301 bp)	1	30439804	30440104
Chr1:30441012-30441221 UNK (210 bp)	1	30441012	30441221
Chr1:30443479-30443698 UNK (220 bp)	1	30443479	30443698
Chr1:30453955-30454156 UNK (202 bp)	1	30453955	30454156
Chr1:30498568-30498821 UNK (254 bp)	1	30498568	30498821
Chr1:31851908-31852087 UNK (180 bp)	1	31851908	31852087
Chr1:33114365-33114613 UNK (249 bp)	1	33114365	33114613
Chr1:33672053-33672327 UNK (275 bp)	1	33672053	33672327
Chr1:33672823-33673036 UNK (214 bp)	1	33672823	33673036
Chr1:34084797-34085005 UNK (209 bp)	1	34084797	34085005
Chr1:34255041-34255293 UNK (253 bp)	1	34255041	34255293
Chr1:34567349-34567536 UNK (188 bp)	1	34567349	34567536
Chr1:34568187-34568411 UNK (225 bp)	1	34568187	34568411
